"stimTest1",,"responseArray1","responseTimeArray1","rtArray1","ansIntact1","ansRearr1","ansNovel1","wasIntact1","wasRearr1","wasNovel1","hitsIntact1","missesIntact1","falseAlarmsIntact1","corRejIntact1","dPrimeIntact1","hitsRearr1","missesRearr1","falseAlarmsRearr1","corRejRearr1","dPrimeRearr1","hitsNovel1","missesNovel1","falseAlarmsNovel1","corRejNovel1","dPrimeNovel1","overallCorrect1","accuracy1",
"football","calm","0",15.5905,0.050005,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"pour","pants","0",15.9402,0.050042,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"bush","candy","0",16.2905,0.050047,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"surreal","nail","0",16.6406,0.05003,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"clearance","kettle","0",16.9742,0.050046,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"painting","peek","0",17.3241,0.050015,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"machine","flasher","0",17.6575,0.050022,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"pillow","ending","0",18.0081,0.050053,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"bench","cleaner","0",18.3582,0.050072,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"plant","weird","0",18.6913,0.050012,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"snow","office","0",19.0412,0.050036,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"middle","live","0",19.3745,0.050044,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"dagger","beard","0",19.7246,0.050014,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"scotch","demand","0",20.0753,0.050024,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"plea","brigade","0",20.4245,0.050036,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"sound","drug","0",20.7749,0.050023,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"major","allow","0",21.1254,0.050039,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"level","buoy","0",21.4588,0.050006,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"brick","save","0",21.8084,0.050047,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"nose","caper","0",22.1583,0.050024,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"value","stupid","0",22.5091,0.050061,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"minnow","construct","0",22.8592,0.050032,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"line","unusual","0",23.209,0.050003,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"jump","satin","0",23.5586,0.050021,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"crunchy","obey","0",23.909,0.050051,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"silly","maze","0",24.2597,0.05005,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"energy","later","0",24.6096,0.050002,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"sardine","chest","0",24.9594,0.050008,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"camel","terrible","0",25.3093,0.050036,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"lake","financial","0",25.6604,0.051164,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"maker","zone","0",26.0097,0.050016,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"frown","tongs","0",26.3604,0.050006,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"sparrow","soup","0",26.71,0.050051,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"charm","society","0",27.0602,0.050022,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"breakfast","dime","0",27.4109,0.050006,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"bride","hiccup","0",27.7612,0.050059,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"anger","award","0",28.11,0.050016,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"exhale","mirror","0",28.46,0.050008,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"peace","second","0",28.7935,0.050018,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"burp","barn","0",29.1438,0.050035,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"submarine","cedar","0",29.494,0.050047,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"jail","drink","0",29.8442,0.05,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"shampoo","skillet","0",30.1775,0.050013,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"fridge","unlock","0",30.5291,0.050112,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"cook","kidnap","0",30.8781,0.050001,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"defense","flamingo","0",31.277,0.08003,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"folder","sparkle","0",31.6279,0.050047,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"uncommon","clue","0",31.9782,0.050007,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"browse","morning","0",32.3279,0.049999,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"iguana","dolphin","0",32.6781,0.05005,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"sorrow","helper","0",33.0282,0.050014,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"king","rotten","0",33.3794,0.050033,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"tail","stove","0",33.7286,0.050326,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"daring","stripe","0",34.0615,0.050028,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"sigh","wrath","0",34.4121,0.050043,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"grass","tabloids","0",34.7618,0.050008,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"limp","quiet","0",35.1116,0.050011,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"narrow","story","0",35.4618,0.050008,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"banjo","fruit","0",35.7956,0.050001,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"idea","neutron","0",36.1458,0.050039,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"explode","kids","0",36.4798,0.050048,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"jacket","brother","0",36.8121,0.050018,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"friend","clockwise","0",37.1622,0.050019,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"clown","bright","0",37.4958,0.050065,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"china","lonely","0",37.8294,0.050005,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"computer","land","0",38.1797,0.050023,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"truth","mold","0",38.529,0.050014,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"cheerful","shave","0",38.8796,0.050044,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"cheetah","tricycle","0",39.2204,0.057166,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"vacation","dirt","0",39.563,0.050274,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"future","average","0",39.9136,0.050639,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"lick","perch","0",40.2634,0.050006,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"fake","thimble","0",40.6139,0.050755,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"winner","suit","0",40.9634,0.050021,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"hornet","limousine","0",41.3136,0.050052,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"parent","bell","0",41.6633,0.050015,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"private","crescent","0",42.0206,0.05,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"creator","collect","0",42.3742,0.050071,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"pledge","collar","0",42.7511,0.050073,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"puzzle","stack","0",43.0989,0.050634,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"closing","wind","0",43.4475,0.050012,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
"frog","snatch","0",43.7973,0.050025,0,0,0,0,1,0,0,0,0,1,,0,1,0,0,,0,0,0,1,,0,,
"vulture","strung","0",44.1478,0.050048,0,0,0,0,0,1,0,0,0,1,,0,0,0,1,,0,1,0,0,,0,,
"knife","sick","0",44.4825,0.051377,0,0,0,1,0,0,0,1,0,0,,0,0,0,1,,0,0,0,1,,0,,
